"項目","単位","1980_","1981_","1982_","1983_","1984_59","1985_","1986_","1987_","1988_","1989_1","1990_","1991_","1992_","1993_","1994_6","1995_","1996_","1997_","1998_","1999_11","2000_","2001_","2002_","2003_","2004_16","2005_","2006_","2007_","2008_","2009_","有効数字(少数桁)"
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_自動車保有台数(千世帯当たり)","台","","","","","－","","","","","－","","","","","1546.0","","","","","1625.0","","","","","1754.0","","","","","1737.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_自動車保有率","％","","","","","－","","","","","－","","","","","88.7","","","","","91.4","","","","","94.0","","","","","95.8",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_年間収入","千円","","","","","5511.0","","","","","5916.0","","","","","7009.0","","","","","6959.0","","","","","6209.0","","","","","5596.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出","円","","","","","244394.0","","","","","274605.0","","","","","298135.0","","","","","309654.0","","","","","311722.0","","","","","273071.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料","円","","","","","76604.0","","","","","83619.0","","","","","86818.0","","","","","83850.0","","","","","74537.0","","","","","69041.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_穀類","円","","","","","9363.0","","","","","11145.0","","","","","12016.0","","","","","9687.0","","","","","8893.0","","","","","8008.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_穀類_米","円","","","","","5670.0","","","","","6898.0","","","","","7457.0","","","","","4783.0","","","","","4567.0","","","","","3916.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_穀類_パン","円","","","","","2320.0","","","","","2774.0","","","","","2839.0","","","","","2960.0","","","","","2819.0","","","","","2586.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_穀類_めん類","円","","","","","1132.0","","","","","1214.0","","","","","1451.0","","","","","1686.0","","","","","1259.0","","","","","1212.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_穀類_他の穀類","円","","","","","241.0","","","","","258.0","","","","","269.0","","","","","258.0","","","","","248.0","","","","","294.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_魚介類","円","","","","","12241.0","","","","","12473.0","","","","","11565.0","","","","","11163.0","","","","","8464.0","","","","","6875.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_魚介類_生鮮魚介","円","","","","","8431.0","","","","","8349.0","","","","","7520.0","","","","","7201.0","","","","","5828.0","","","","","4402.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_魚介類_塩干魚介","円","","","","","2322.0","","","","","2524.0","","","","","2419.0","","","","","2704.0","","","","","1275.0","","","","","1132.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_魚介類_魚肉練製品","円","","","","","1121.0","","","","","1090.0","","","","","1185.0","","","","","882.0","","","","","800.0","","","","","823.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_魚介類_他の魚介加工品","円","","","","","367.0","","","","","510.0","","","","","442.0","","","","","377.0","","","","","561.0","","","","","518.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_肉類","円","","","","","11124.0","","","","","11657.0","","","","","10734.0","","","","","10424.0","","","","","7894.0","","","","","8142.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_肉類_生鮮肉","円","","","","","9948.0","","","","","10449.0","","","","","9327.0","","","","","9177.0","","","","","6747.0","","","","","6928.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_肉類_加工肉","円","","","","","1176.0","","","","","1208.0","","","","","1407.0","","","","","1247.0","","","","","1147.0","","","","","1214.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_乳卵類","円","","","","","4150.0","","","","","3951.0","","","","","4275.0","","","","","4205.0","","","","","3238.0","","","","","3118.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_乳卵類_牛乳","円","","","","","2247.0","","","","","2290.0","","","","","2488.0","","","","","2405.0","","","","","1755.0","","","","","1513.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_乳卵類_乳製品","円","","","","","523.0","","","","","522.0","","","","","819.0","","","","","794.0","","","","","810.0","","","","","862.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_乳卵類_卵","円","","","","","1380.0","","","","","1138.0","","","","","968.0","","","","","1006.0","","","","","672.0","","","","","743.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_野菜･海藻","円","","","","","8088.0","","","","","9864.0","","","","","10516.0","","","","","10106.0","","","","","8872.0","","","","","7236.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_野菜･海藻_生鮮野菜","円","","","","","5352.0","","","","","6996.0","","","","","7322.0","","","","","6932.0","","","","","5995.0","","","","","4781.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_野菜･海藻_乾物･海藻","円","","","","","787.0","","","","","822.0","","","","","811.0","","","","","727.0","","","","","704.0","","","","","601.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_野菜･海藻_大豆加工品","円","","","","","894.0","","","","","860.0","","","","","1128.0","","","","","1195.0","","","","","966.0","","","","","836.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_野菜･海藻_他の野菜･海藻加工品","円","","","","","1055.0","","","","","1185.0","","","","","1255.0","","","","","1253.0","","","","","1207.0","","","","","1019.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_果物","円","","","","","4499.0","","","","","4739.0","","","","","4262.0","","","","","4006.0","","","","","3104.0","","","","","2693.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_果物_生鮮果物","円","","","","","4431.0","","","","","4675.0","","","","","4193.0","","","","","3943.0","","","","","3028.0","","","","","2630.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_果物_果物加工品","円","","","","","68.0","","","","","64.0","","","","","69.0","","","","","63.0","","","","","76.0","","","","","63.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_油脂･調味料","円","","","","","2726.0","","","","","2657.0","","","","","3034.0","","","","","3131.0","","","","","3082.0","","","","","3055.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_油脂･調味料_油脂","円","","","","","376.0","","","","","318.0","","","","","297.0","","","","","293.0","","","","","295.0","","","","","306.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_油脂･調味料_調味料","円","","","","","2350.0","","","","","2339.0","","","","","2737.0","","","","","2838.0","","","","","2787.0","","","","","2749.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_菓子類","円","","","","","5901.0","","","","","6311.0","","","","","5845.0","","","","","5888.0","","","","","5597.0","","","","","5288.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_調理食品","円","","","","","3123.0","","","","","4189.0","","","","","6003.0","","","","","6527.0","","","","","7500.0","","","","","6995.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_調理食品_主食的調理食品","円","","","","","943.0","","","","","1319.0","","","","","2492.0","","","","","2923.0","","","","","2946.0","","","","","3105.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_調理食品_他の調理食品","円","","","","","2180.0","","","","","2870.0","","","","","3511.0","","","","","3604.0","","","","","4554.0","","","","","3890.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_飲料","円","","","","","2341.0","","","","","2731.0","","","","","2976.0","","","","","3348.0","","","","","3401.0","","","","","3085.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_飲料_茶類","円","","","","","255.0","","","","","244.0","","","","","391.0","","","","","509.0","","","","","568.0","","","","","545.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_飲料_コーヒー･ココア","円","","","","","726.0","","","","","696.0","","","","","672.0","","","","","815.0","","","","","703.0","","","","","751.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_飲料_他の飲料","円","","","","","1360.0","","","","","1791.0","","","","","1912.0","","","","","2024.0","","","","","2131.0","","","","","1789.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_酒類","円","","","","","3924.0","","","","","3700.0","","","","","4540.0","","","","","4688.0","","","","","4230.0","","","","","3743.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_外食","円","","","","","9124.0","","","","","10202.0","","","","","11053.0","","","","","10677.0","","","","","10261.0","","","","","10803.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_外食_一般外食","円","","","","","8024.0","","","","","9233.0","","","","","9713.0","","","","","9714.0","","","","","9193.0","","","","","9867.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_食料_外食_学校給食","円","","","","","1100.0","","","","","969.0","","","","","1340.0","","","","","964.0","","","","","1068.0","","","","","935.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_住居","円","","","","","7867.0","","","","","7901.0","","","","","10146.0","","","","","14248.0","","","","","10959.0","","","","","12062.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_住居_家賃地代","円","","","","","2806.0","","","","","3584.0","","","","","3820.0","","","","","4573.0","","","","","4570.0","","","","","4389.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_住居_家賃地代__（特掲）家賃","円","","","","","－","","","","","－","","","","","3660.0","","","","","4460.0","","","","","4440.0","","","","","4369.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_住居_設備修繕･維持","円","","","","","5061.0","","","","","4316.0","","","","","6326.0","","","","","9676.0","","","","","6389.0","","","","","7673.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_住居_設備修繕･維持_設備材料","円","","","","","736.0","","","","","928.0","","","","","1326.0","","","","","2635.0","","","","","1420.0","","","","","1518.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_住居_設備修繕･維持_工事その他のサービス","円","","","","","4325.0","","","","","3389.0","","","","","5000.0","","","","","7040.0","","","","","4968.0","","","","","6155.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_光熱･水道","円","","","","","15491.0","","","","","14614.0","","","","","19183.0","","","","","20793.0","","","","","19094.0","","","","","17856.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_光熱･水道_電気代","円","","","","","9057.0","","","","","8438.0","","","","","11081.0","","","","","11671.0","","","","","10847.0","","","","","9611.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_光熱･水道_ガス代","円","","","","","3404.0","","","","","3122.0","","","","","3807.0","","","","","4160.0","","","","","3552.0","","","","","3096.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_光熱･水道_他の光熱","円","","","","","708.0","","","","","584.0","","","","","741.0","","","","","623.0","","","","","830.0","","","","","719.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_光熱･水道_上下水道料","円","","","","","2322.0","","","","","2470.0","","","","","3554.0","","","","","4338.0","","","","","3865.0","","","","","4429.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品","円","","","","","10216.0","","","","","12025.0","","","","","12295.0","","","","","12264.0","","","","","11073.0","","","","","10228.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_家庭用耐久財","円","","","","","2985.0","","","","","3578.0","","","","","3412.0","","","","","3220.0","","","","","2904.0","","","","","3345.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_家庭用耐久財_家事用耐久財","円","","","","","1242.0","","","","","1865.0","","","","","1531.0","","","","","1177.0","","","","","1789.0","","","","","1926.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_家庭用耐久財_冷暖房用器具","円","","","","","697.0","","","","","1111.0","","","","","1010.0","","","","","765.0","","","","","516.0","","","","","888.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_家庭用耐久財_一般家具","円","","","","","1046.0","","","","","602.0","","","","","870.0","","","","","1278.0","","","","","599.0","","","","","531.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_室内装備･装飾品","円","","","","","722.0","","","","","955.0","","","","","1239.0","","","","","1167.0","","","","","942.0","","","","","666.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_寝具類","円","","","","","1626.0","","","","","1491.0","","","","","1103.0","","","","","1347.0","","","","","700.0","","","","","571.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_家事雑貨","円","","","","","1867.0","","","","","2462.0","","","","","2575.0","","","","","2591.0","","","","","2038.0","","","","","1932.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_家事用消耗品","円","","","","","1705.0","","","","","1694.0","","","","","1960.0","","","","","2238.0","","","","","2513.0","","","","","2071.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_家具･家事用品_家事サービス","円","","","","","1311.0","","","","","1846.0","","","","","2006.0","","","","","1702.0","","","","","1976.0","","","","","1644.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物","円","","","","","18158.0","","","","","19575.0","","","","","18353.0","","","","","17310.0","","","","","13119.0","","","","","11721.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_和服","円","","","","","1666.0","","","","","990.0","","","","","739.0","","","","","822.0","","","","","797.0","","","","","134.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_洋服","円","","","","","6192.0","","","","","7945.0","","","","","7587.0","","","","","7221.0","","","","","5330.0","","","","","5048.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_洋服_男子用洋服","円","","","","","2303.0","","","","","2509.0","","","","","2195.0","","","","","2241.0","","","","","1612.0","","","","","1577.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_洋服_婦人用洋服","円","","","","","2863.0","","","","","4229.0","","","","","3841.0","","","","","3789.0","","","","","2913.0","","","","","2657.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_洋服_子供用洋服","円","","","","","1027.0","","","","","1207.0","","","","","1551.0","","","","","1192.0","","","","","805.0","","","","","814.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_シャツ･セーター類","円","","","","","3314.0","","","","","3448.0","","","","","3199.0","","","","","3298.0","","","","","2430.0","","","","","1980.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_シャツ･セーター類_男子用シャツ･セーター類","円","","","","","1209.0","","","","","1248.0","","","","","1123.0","","","","","1253.0","","","","","829.0","","","","","608.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_シャツ･セーター類_婦人用シャツ･セーター類","円","","","","","1840.0","","","","","1935.0","","","","","1752.0","","","","","1730.0","","","","","1418.0","","","","","1225.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_シャツ･セーター類_子供用シャツ･セーター類","円","","","","","265.0","","","","","265.0","","","","","323.0","","","","","314.0","","","","","183.0","","","","","146.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_下着類","円","","","","","1809.0","","","","","1914.0","","","","","1813.0","","","","","1833.0","","","","","1371.0","","","","","1265.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_下着類_男子用下着類","円","","","","","729.0","","","","","804.0","","","","","668.0","","","","","699.0","","","","","436.0","","","","","440.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_下着類_婦人用下着類","円","","","","","815.0","","","","","876.0","","","","","843.0","","","","","926.0","","","","","806.0","","","","","705.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_下着類_子供用下着類","円","","","","","265.0","","","","","233.0","","","","","302.0","","","","","208.0","","","","","128.0","","","","","120.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_生地･糸類","円","","","","","933.0","","","","","423.0","","","","","409.0","","","","","265.0","","","","","104.0","","","","","197.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_他の被服","円","","","","","1193.0","","","","","1382.0","","","","","1328.0","","","","","1133.0","","","","","786.0","","","","","1074.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_履物類","円","","","","","1875.0","","","","","1973.0","","","","","1954.0","","","","","1740.0","","","","","1498.0","","","","","1552.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_被服及び履物_被服関連サービス","円","","","","","1175.0","","","","","1499.0","","","","","1326.0","","","","","998.0","","","","","804.0","","","","","471.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_保健医療","円","","","","","6324.0","","","","","7041.0","","","","","7962.0","","","","","9855.0","","","","","13313.0","","","","","12229.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_保健医療_医薬品","円","","","","","1598.0","","","","","1922.0","","","","","1821.0","","","","","1930.0","","","","","1856.0","","","","","1978.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_保健医療_健康保持用摂取品","円","","","","","－","","","","","－","","","","","142.0","","","","","624.0","","","","","1216.0","","","","","980.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_保健医療_保健医療用品･器具","円","","","","","1324.0","","","","","1486.0","","","","","1898.0","","","","","1666.0","","","","","2781.0","","","","","1885.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_保健医療_保健医療サービス","円","","","","","3402.0","","","","","3633.0","","","","","4102.0","","","","","5634.0","","","","","7460.0","","","","","7386.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信","円","","","","","23863.0","","","","","25897.0","","","","","31834.0","","","","","32620.0","","","","","45067.0","","","","","39191.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信_交通","円","","","","","3396.0","","","","","4430.0","","","","","4346.0","","","","","4524.0","","","","","4110.0","","","","","3529.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信_自動車等関係費","円","","","","","14488.0","","","","","15043.0","","","","","20199.0","","","","","17037.0","","","","","26900.0","","","","","21965.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信_自動車等関係費_自動車等購入","円","","","","","2335.0","","","","","3542.0","","","","","6230.0","","","","","2927.0","","","","","8855.0","","","","","4182.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信_自動車等関係費_自転車購入","円","","","","","235.0","","","","","207.0","","","","","378.0","","","","","203.0","","","","","170.0","","","","","118.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信_自動車等関係費_自動車等維持","円","","","","","11919.0","","","","","11294.0","","","","","13591.0","","","","","13907.0","","","","","17875.0","","","","","17665.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信_通信","円","","","","","5978.0","","","","","6424.0","","","","","7289.0","","","","","11059.0","","","","","14057.0","","","","","13698.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_交通･通信_通信__（特掲）移動電話通信料","円","","","","","－","","","","","－","","","","","－","","","","","2517.0","","","","","8132.0","","","","","9372.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教育","円","","","","","9222.0","","","","","12952.0","","","","","15309.0","","","","","15355.0","","","","","17563.0","","","","","10175.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教育_授業料等","円","","","","","6700.0","","","","","9459.0","","","","","10548.0","","","","","11347.0","","","","","14250.0","","","","","7674.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教育_教科書･学習参考教材","円","","","","","288.0","","","","","257.0","","","","","387.0","","","","","246.0","","","","","168.0","","","","","113.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教育_補習教育","円","","","","","2234.0","","","","","3236.0","","","","","4375.0","","","","","3763.0","","","","","3144.0","","","","","2387.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽","円","","","","","20607.0","","","","","23200.0","","","","","26438.0","","","","","26812.0","","","","","28103.0","","","","","28324.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽用耐久財","円","","","","","1488.0","","","","","1846.0","","","","","1473.0","","","","","3069.0","","","","","2736.0","","","","","3936.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽用品","円","","","","","4784.0","","","","","5277.0","","","","","6096.0","","","","","6761.0","","","","","6348.0","","","","","5600.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_書籍･他の印刷物","円","","","","","3438.0","","","","","4030.0","","","","","4715.0","","","","","4453.0","","","","","4616.0","","","","","4173.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽サービス","円","","","","","10897.0","","","","","12048.0","","","","","14153.0","","","","","12528.0","","","","","14404.0","","","","","14615.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽サービス_宿泊料","円","","","","","218.0","","","","","708.0","","","","","589.0","","","","","731.0","","","","","1461.0","","","","","1248.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽サービス_パック旅行費","円","","","","","3014.0","","","","","4046.0","","","","","3523.0","","","","","3642.0","","","","","3131.0","","","","","3706.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽サービス_月謝類","円","","","","","3843.0","","","","","3754.0","","","","","4418.0","","","","","3464.0","","","","","3144.0","","","","","2155.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽サービス_他の教養娯楽サービス","円","","","","","3822.0","","","","","3540.0","","","","","5623.0","","","","","4691.0","","","","","6668.0","","","","","7507.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_教養娯楽_教養娯楽サービス__（特掲）インターネット接続料","円","","","","","－","","","","","－","","","","","－","","","","","－","","","","","1403.0","","","","","2449.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出","円","","","","","56043.0","","","","","67781.0","","","","","69796.0","","","","","76547.0","","","","","78894.0","","","","","62244.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_諸雑費","円","","","","","13494.0","","","","","16948.0","","","","","15731.0","","","","","17753.0","","","","","23603.0","","","","","24114.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_諸雑費_理美容サービス","円","","","","","2684.0","","","","","2601.0","","","","","2865.0","","","","","2793.0","","","","","2582.0","","","","","2735.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_諸雑費_理美容用品","円","","","","","3356.0","","","","","3186.0","","","","","3595.0","","","","","4071.0","","","","","3775.0","","","","","3901.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_諸雑費_身の回り用品","円","","","","","1347.0","","","","","1706.0","","","","","1484.0","","","","","1932.0","","","","","1427.0","","","","","1213.0",""
"１世帯当たり１か月間の収入と支出二人以上(全世帯)_消費支出_その他の消費支出_諸雑費_たばこ","円","","","","","1892.0","","","","","2245.0","","","","","1355.0","","","","","1405.0","","","","","1193.0","","","","","959.0",""
